name,type,episodes,rating,members
Kimi no Na wa.,Movie,1,9.37,200630
Fullmetal Alchemist: Brotherhood,TV,64,9.26,793665
Gintama?,TV,51,9.25,114262
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,10,9.15,93351
Hunter x Hunter (2011),TV,148,9.13,425855
Ginga Eiyuu Densetsu,OVA,110,9.11,80679
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,9.10,72534
Clannad: After Story,TV,24,9.06,456749
Koe no Katachi,Movie,1,9.05,102733
Gintama,TV,201,9.04,336376
Code Geass: Hangyaku no Lelouch R2,TV,25,8.98,572888
Haikyuu!! Second Season,TV,25,8.93,179342
Sen to Chihiro no Kamikakushi,Movie,1,8.93,466254
Shigatsu wa Kimi no Uso,TV,22,8.92,416397
Mushishi Zoku Shou 2nd Season,TV,10,8.88,75894
Ookami Kodomo no Ame to Yuki,Movie,1,8.84,226193
Code Geass: Hangyaku no Lelouch,TV,25,8.83,715151
Hajime no Ippo,TV,75,8.83,157670
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,8.83,129307
Cowboy Bebop,TV,26,8.82,486824
One Punch Man,TV,12,8.82,552458
Mononoke Hime,Movie,1,8.81,339556
Suzumiya Haruhi no Shoushitsu,Movie,1,8.81,240297
Monogatari Series: Second Season,TV,26,8.80,205959
Mushishi Zoku Shou,TV,10,8.80,101351
Mushishi,TV,26,8.78,300030
Tengen Toppa Gurren Lagann,TV,27,8.78,562962
Great Teacher Onizuka,TV,43,8.77,268487
Natsume Yuujinchou Go,TV,13,8.76,38865
Hajime no Ippo: New Challenger,TV,26,8.75,88995
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,8.75,32266
Natsume Yuujinchou Shi,TV,13,8.75,98431
Howl no Ugoku Shiro,Movie,1,8.74,333186
Fate/Zero 2nd Season,TV,12,8.73,340973
Kizumonogatari II: Nekketsu-hen,Movie,1,8.73,34347
Monster,TV,74,8.72,247562
Bakuman. 3rd Season,TV,25,8.71,133620
Death Note,TV,37,8.71,1013917
Gintama?: Aizome Kaori-hen,OVA,2,8.69,16947
Ansatsu Kyoushitsu (TV) 2nd Season,TV,25,8.68,176475
Haikyuu!!,TV,25,8.68,284498
Hajime no Ippo: Rising,TV,25,8.68,66756
Kara no Kyoukai 5: Mujun Rasen,Movie,1,8.68,111074
Natsume Yuujinchou San,TV,13,8.67,102322
Ping Pong The Animation,TV,11,8.67,97187
Mushishi Special: Hihamukage,Special,1,8.66,49036
Boku dake ga Inai Machi,TV,12,8.65,402381
Yojouhan Shinwa Taikei,TV,11,8.65,122531
Aria The Origination,TV,13,8.64,56162
Kamisama Hajimemashita: Kako-hen,OVA,4,8.64,33422
Rainbow: Nisha Rokubou no Shichinin,TV,26,8.64,139474
Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,8.64,355839
Tengen Toppa Gurren Lagann Movie: Lagann-hen,Movie,1,8.64,82253
Zoku Natsume Yuujinchou,TV,13,8.64,114173
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,8.62,463835
Kuroko no Basket 3rd Season,TV,25,8.62,184525
Hotarubi no Mori e,Movie,1,8.61,197439
Shokugeki no Souma,TV,24,8.61,348951
Yuri!!! on Ice,TV,12,8.61,103178
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,8.60,11104
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,24,8.60,93657
Gintama Movie: Shinyaku Benizakura-hen,Movie,1,8.59,51185
Hellsing Ultimate,OVA,10,8.59,297454
Kiseijuu: Sei no Kakuritsu,TV,24,8.59,425457
Shouwa Genroku Rakugo Shinjuu,TV,13,8.59,71295
Uchuu Kyoudai,TV,99,8.59,72958
Bakemono no Ko,Movie,1,8.58,80825
Hotaru no Haka,Movie,1,8.58,174878
Kuroko no Basket 2nd Season,TV,25,8.58,243325
Major S5,TV,25,8.58,28653
Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,26,8.57,113993
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,8.57,74074
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),Movie,1,8.57,95658
Kingdom 2nd Season,TV,39,8.57,31234
Slam Dunk,TV,101,8.56,82570
Usagi Drop,TV,11,8.56,194855
